feature,importance,model,importance_type,rank
project_prf_max_team_size,0.3603267111006078,ExtraTreesRegressor,feature_importances_,1
project_prf_team_size_group_41_50,0.07496446017860563,ExtraTreesRegressor,feature_importances_,2
process_pmf_development_methodologies_agile_development__iterative,0.07483502975339833,ExtraTreesRegressor,feature_importances_,3
project_prf_team_size_group_21_30,0.07213106311112838,ExtraTreesRegressor,feature_importances_,4
project_prf_application_type_web-based application,0.06976702139645695,ExtraTreesRegressor,feature_importances_,5
external_eef_organisation_type_information technology,0.06963759097124965,ExtraTreesRegressor,feature_importances_,6
project_prf_year_of_project,0.05175629554504907,ExtraTreesRegressor,feature_importances_,7
project_prf_application_type_hospital information system,0.04748009940152669,ExtraTreesRegressor,feature_importances_,8
external_eef_organisation_type_medical and health care,0.025625789160105897,ExtraTreesRegressor,feature_importances_,9
project_prf_team_size_group_61_70,0.0245211313989255,ExtraTreesRegressor,feature_importances_,10
process_pmf_development_methodologies_agile_development__joint_application_development_jad__multifunctional_teams,0.021138940757759826,ExtraTreesRegressor,feature_importances_,11
project_prf_relative_size_l,0.020810865547823236,ExtraTreesRegressor,feature_importances_,12
project_prf_functional_size,0.017900792996370266,ExtraTreesRegressor,feature_importances_,13
people_prf_personnel_changes,0.015489058748444352,ExtraTreesRegressor,feature_importances_,14
project_prf_relative_size_m2,0.013408704255110813,ExtraTreesRegressor,feature_importances_,15
process_pmf_docs,0.010925516427032543,ExtraTreesRegressor,feature_importances_,16
project_prf_team_size_group_9_14,0.008837796788948417,ExtraTreesRegressor,feature_importances_,17
tech_tf_primary_programming_language_java,0.006565348722269133,ExtraTreesRegressor,feature_importances_,18
tech_tf_primary_programming_language_c_,0.0017696255140951039,ExtraTreesRegressor,feature_importances_,19
process_pmf_development_methodologies_agile_development__unified_process,0.001717610569272463,ExtraTreesRegressor,feature_importances_,20
external_eef_organisation_type_aerospace _ automotive,0.0012814315848741012,ExtraTreesRegressor,feature_importances_,21
project_prf_application_type_catalogue_register of things or events,0.0012797306235409346,ExtraTreesRegressor,feature_importances_,22
project_prf_development_type_new_development,0.0012328541107031092,ExtraTreesRegressor,feature_importances_,23
project_prf_application_group_mathematically_intensive_application,0.0010479291138904866,ExtraTreesRegressor,feature_importances_,24
tech_tf_development_platform_multi,0.00097164445758033,ExtraTreesRegressor,feature_importances_,25
external_eef_industry_sector_medical_health care,0.0008458166288305882,ExtraTreesRegressor,feature_importances_,26
project_prf_application_type_mathematical modelling_finance or eng; software development tool,0.0008152357873456662,ExtraTreesRegressor,feature_importances_,27
external_eef_industry_sector_manufacturing,0.0007392896340416471,ExtraTreesRegressor,feature_importances_,28
project_prf_application_type_idm,0.0006892300894305157,ExtraTreesRegressor,feature_importances_,29
tech_tf_architecture_client_server,0.0005195020755043718,ExtraTreesRegressor,feature_importances_,30
tech_tf_client_server_yes,0.00025978952305933165,ExtraTreesRegressor,feature_importances_,31
project_prf_relative_size_m1,0.00018865075435288602,ExtraTreesRegressor,feature_importances_,32
external_eef_industry_sector_electronics_computers,0.00012943215146187035,ExtraTreesRegressor,feature_importances_,33
external_eef_industry_sector_service industry,0.0001219743339693074,ExtraTreesRegressor,feature_importances_,34
tech_tf_primary_programming_language_oracle,7.60001591961056e-05,ExtraTreesRegressor,feature_importances_,35
project_prf_relative_size_xxs,4.429968864340669e-05,ExtraTreesRegressor,feature_importances_,36
tech_tf_development_platform_proprietary,2.379817833387883e-05,ExtraTreesRegressor,feature_importances_,37
tech_tf_primary_programming_language_proprietary_agile_platform,2.292625470667088e-05,ExtraTreesRegressor,feature_importances_,38
tech_tf_language_type_5GL,1.701711244617413e-05,ExtraTreesRegressor,feature_importances_,39
tech_tf_tools_used,1.3821046066429353e-05,ExtraTreesRegressor,feature_importances_,40
external_eef_organisation_type_community services; government,7.215803226730996e-06,ExtraTreesRegressor,feature_importances_,41
tech_tf_primary_programming_language_pl_i,6.614486291170079e-06,ExtraTreesRegressor,feature_importances_,42
external_eef_organisation_type_government,4.955334270681022e-06,ExtraTreesRegressor,feature_importances_,43
external_eef_industry_sector_banking,4.484595481089852e-06,ExtraTreesRegressor,feature_importances_,44
project_prf_relative_size_s,4.408060931664051e-06,ExtraTreesRegressor,feature_importances_,45
project_prf_team_size_group_3_4,4.277146228208225e-06,ExtraTreesRegressor,feature_importances_,46
external_eef_organisation_type_banking; communications; education institution; government; medical and health care; transport_storage; wholesale_retail trade,4.129013173741499e-06,ExtraTreesRegressor,feature_importances_,47
external_eef_organisation_type_transport_storage,2.8949683314178594e-06,ExtraTreesRegressor,feature_importances_,48
project_prf_application_type_surveillance and security,2.8386965569472804e-06,ExtraTreesRegressor,feature_importances_,49
tech_tf_architecture_multi_tier_with_web_public_interface,2.7605394460437973e-06,ExtraTreesRegressor,feature_importances_,50
external_eef_industry_sector_government,2.662658375641656e-06,ExtraTreesRegressor,feature_importances_,51
project_prf_team_size_group_Missing,2.444587857448443e-06,ExtraTreesRegressor,feature_importances_,52
project_prf_application_type_data or database management,2.319613760873977e-06,ExtraTreesRegressor,feature_importances_,53
project_prf_application_type_business application,2.2200873831717467e-06,ExtraTreesRegressor,feature_importances_,54
tech_tf_development_platform_pc,2.1532921717817833e-06,ExtraTreesRegressor,feature_importances_,55
project_prf_application_type_proposal builder,1.8355654098591722e-06,ExtraTreesRegressor,feature_importances_,56
project_prf_application_group_business_application,1.754381842001753e-06,ExtraTreesRegressor,feature_importances_,57
project_prf_application_group_infrastructure_software,1.739710320655483e-06,ExtraTreesRegressor,feature_importances_,58
project_prf_team_size_group_2,1.499183519056316e-06,ExtraTreesRegressor,feature_importances_,59
external_eef_organisation_type_banking,1.3846843330147372e-06,ExtraTreesRegressor,feature_importances_,60
tech_tf_dbms_used_yes,8.661728260994521e-07,ExtraTreesRegressor,feature_importances_,61
project_prf_application_type_auditing management,5.904104066362646e-07,ExtraTreesRegressor,feature_importances_,62
tech_tf_language_type_4GL,5.722965869510987e-07,ExtraTreesRegressor,feature_importances_,63
project_prf_cost_currency_european__euro,3.8716555725960816e-07,ExtraTreesRegressor,feature_importances_,64
tech_tf_web_development_web,3.726184543563285e-07,ExtraTreesRegressor,feature_importances_,65
project_prf_application_type_security controls,2.910381435958964e-07,ExtraTreesRegressor,feature_importances_,66
project_prf_relative_size_xs,2.696285333685885e-07,ExtraTreesRegressor,feature_importances_,67
external_eef_organisation_type_community services; government; public administration,2.640208634811692e-07,ExtraTreesRegressor,feature_importances_,68
project_prf_team_size_group_5_8,2.4505957489435905e-07,ExtraTreesRegressor,feature_importances_,69
tech_tf_client_server_no,1.9153049025340912e-07,ExtraTreesRegressor,feature_importances_,70
external_eef_industry_sector_education,1.4674765259470257e-07,ExtraTreesRegressor,feature_importances_,71
tech_tf_architecture_stand_alone,1.4323149705907117e-07,ExtraTreesRegressor,feature_importances_,72
external_eef_organisation_type_surveillance_security,1.3323860191541506e-07,ExtraTreesRegressor,feature_importances_,73
project_prf_application_type_electronic data interchange,1.3323860191541503e-07,ExtraTreesRegressor,feature_importances_,74
project_prf_application_type_catalogue_register of things or events; logistic or supply planning_control,1.3323860191541503e-07,ExtraTreesRegressor,feature_importances_,75
tech_tf_development_platform_mr,1.1734260599163074e-07,ExtraTreesRegressor,feature_importances_,76
project_prf_development_type_re_development,1.1592021164672504e-07,ExtraTreesRegressor,feature_importances_,77
project_prf_cost_currency_canada__dollar,9.205617941115464e-08,ExtraTreesRegressor,feature_importances_,78
project_prf_application_type_data warehouse system; financial transaction process_accounting; management or performance reporting,8.800695449372307e-08,ExtraTreesRegressor,feature_importances_,79
process_pmf_development_methodologies_agile_development__scrum,8.800695449372304e-08,ExtraTreesRegressor,feature_importances_,80
external_eef_organisation_type_education institution,7.994316114924902e-08,ExtraTreesRegressor,feature_importances_,81
external_eef_organisation_type_community services,3.597705049747599e-08,ExtraTreesRegressor,feature_importances_,82
project_prf_application_type_customer billing_relationship management,3.1479919185291487e-08,ExtraTreesRegressor,feature_importances_,83
external_eef_organisation_type_food processing,2.498223785914033e-08,ExtraTreesRegressor,feature_importances_,84
project_prf_application_type_airport management,2.498223785914033e-08,ExtraTreesRegressor,feature_importances_,85
tech_tf_primary_programming_language_javascript,2.24856565609225e-08,ExtraTreesRegressor,feature_importances_,86
project_prf_application_type_content management system; dynamic website,2.056846279753768e-08,ExtraTreesRegressor,feature_importances_,87
project_prf_application_type_complex process control; workflow support_management,1.7988525248737995e-08,ExtraTreesRegressor,feature_importances_,88
external_eef_organisation_type_biotech,1.6431720660693512e-08,ExtraTreesRegressor,feature_importances_,89
project_prf_application_type_analysis management,1.577445183426577e-08,ExtraTreesRegressor,feature_importances_,90
tech_tf_primary_programming_language_c__,9.992895143656133e-09,ExtraTreesRegressor,feature_importances_,91
external_eef_industry_sector_financial,8.994262624368998e-09,ExtraTreesRegressor,feature_importances_,92
"external_eef_organisation_type_financial, property_business services",8.994262624368998e-09,ExtraTreesRegressor,feature_importances_,93
"external_eef_organisation_type_education institution; electricity, gas, water; ieee",5.522043634610769e-09,ExtraTreesRegressor,feature_importances_,94
process_pmf_development_methodologies_agile_development__personal_software_process_psp__unified_process,5.522043634610768e-09,ExtraTreesRegressor,feature_importances_,95
project_prf_application_type_customer billing; financial transaction process_accounting,4.9964475718280664e-09,ExtraTreesRegressor,feature_importances_,96
external_eef_organisation_type_high tech,2.6575450924450405e-09,ExtraTreesRegressor,feature_importances_,97
external_eef_organisation_type_public sector,1.3911870786779659e-09,ExtraTreesRegressor,feature_importances_,98
project_prf_application_type_course management,1.192446067438257e-09,ExtraTreesRegressor,feature_importances_,99
project_prf_application_type_project management,1.093075561818402e-09,ExtraTreesRegressor,feature_importances_,100
tech_tf_web_development_tech_tf_web_development,0.0,ExtraTreesRegressor,feature_importances_,101
tech_tf_dbms_used_tech_tf_dbms_used,0.0,ExtraTreesRegressor,feature_importances_,102
tech_tf_primary_programming_language_abap,0.0,ExtraTreesRegressor,feature_importances_,103
project_prf_application_group_real_time_application,0.0,ExtraTreesRegressor,feature_importances_,104
