Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,2530.2136,26851720.7012,5181.8646,0.4251,0.5041,0.3111
1,328.7931,303300.2259,550.727,0.6479,0.6979,0.9109
2,2446.523,28635958.5305,5351.2577,0.4483,1.7528,7.6405
3,356.5487,219626.033,468.6428,0.8832,1.0617,1.7945
4,10889.5389,579453808.9095,24071.8468,-0.0496,1.0321,0.2992
5,894.6167,2215056.9676,1488.3067,0.7232,0.8986,1.3176
6,156.3539,24823.6111,157.5551,0.5832,0.9075,1.3802
7,145.5325,29911.7739,172.9502,0.7905,0.5556,0.6024
8,147.7863,26771.8909,163.6212,0.5472,1.4461,3.5604
9,259.8591,155474.529,394.3026,0.9113,0.8159,1.1712
Mean,1815.5766,63791645.3173,3800.1075,0.591,0.9672,1.8988
Std,3149.2363,172226328.6105,7025.0145,0.2662,0.3671,2.1121
